City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
142,Morondava,MG,-20.2833,44.2833,76.84,63,6,12.88,clear sky
143,Taksimo,RU,56.3444,114.8794,30.52,82,23,2.15,few clouds
144,Nanortalik,GL,60.1432,-45.2371,39.42,97,100,3.44,moderate rain
145,Kinablangan,PH,7.6947,126.5503,78.91,84,97,4.18,overcast clouds
146,Tuktoyaktuk,CA,69.4541,-133.0374,24.8,100,1,5.75,clear sky
147,Mar Del Plata,AR,-38.0023,-57.5575,60.1,96,90,3.0,overcast clouds
148,Hambantota,LK,6.1241,81.1185,79.14,94,40,3.44,scattered clouds
149,Disna,BY,55.568,28.1971,46.36,67,74,22.37,broken clouds
150,Ponedera,CO,10.641,-74.7503,78.94,85,11,7.34,few clouds
151,Talaya,RU,61.3833,152.75,-8.75,85,100,0.51,overcast clouds
152,Natal,BR,-5.795,-35.2094,86.65,70,75,12.66,broken clouds
153,Kilindoni,TZ,-7.9139,39.6668,79.92,73,43,11.97,scattered clouds
154,Cabo San Lucas,MX,22.8909,-109.9124,77.5,86,0,10.04,clear sky
155,Vaini,TO,-21.2,-175.2,69.96,94,20,10.36,few clouds
156,Vanimo,PG,-2.6741,141.3028,77.94,85,100,4.63,overcast clouds
157,Winslow,US,35.0242,-110.6974,42.98,49,1,6.91,clear sky
158,Peleduy,RU,59.6289,112.7406,36.27,83,68,8.19,broken clouds
159,Isangel,VU,-19.55,169.2667,76.51,83,98,3.06,overcast clouds
160,Kholtoson,RU,50.2981,103.3097,31.39,56,0,3.4,clear sky
161,Wewak,PG,-3.5534,143.6268,78.22,85,98,4.7,overcast clouds
162,Chokurdakh,RU,70.6333,147.9167,-17.01,100,88,2.42,overcast clouds
163,Sao Filipe,CV,14.8961,-24.4956,83.62,58,1,5.86,clear sky
164,Kluang,MY,2.0251,103.3328,73.13,91,100,1.59,light rain
165,Pevek,RU,69.7008,170.3133,13.24,93,100,9.28,light snow
166,Taicheng,CN,38.731,113.228,41.07,51,92,3.76,overcast clouds
167,Watrous,CA,51.6668,-105.4679,20.98,93,0,5.75,clear sky
168,Erzin,TR,36.9559,36.2,86.52,24,0,3.8,clear sky
169,Zhanakorgan,KZ,43.9098,67.2495,45.03,36,100,5.7,overcast clouds
170,Chicama,PE,-7.8447,-79.1469,57.74,83,98,6.04,overcast clouds
171,Shinjo,JP,38.7586,140.3008,44.26,90,65,1.21,broken clouds
172,Honiara,SB,-9.4333,159.95,77.76,85,67,5.68,broken clouds
173,Inhambane,MZ,-23.865,35.3833,78.78,61,20,20.71,few clouds
174,San Vicente,AR,-26.6167,-54.1333,76.32,40,0,3.87,clear sky
175,Sarangani,PH,5.4033,125.4636,82.49,77,100,7.83,overcast clouds
176,Ostrovnoy,RU,68.0531,39.5131,35.64,73,100,27.0,overcast clouds
177,Aykhal,RU,66.0,111.5,29.25,88,100,17.43,overcast clouds
178,Harrisonburg,US,38.4496,-78.8689,59.99,74,1,4.61,clear sky
179,Upernavik,GL,72.7868,-56.1549,18.0,93,100,10.71,overcast clouds
180,Nizhnevartovsk,RU,60.9344,76.5531,32.02,100,75,13.42,light snow
181,San Luis,AR,-33.295,-66.3356,71.62,37,0,0.78,clear sky
182,Carnarvon,AU,-24.8667,113.6333,69.87,73,0,21.85,clear sky
183,Narasannapeta,IN,18.4167,84.05,79.99,81,86,6.33,overcast clouds
184,Victoria,HK,22.2855,114.1577,67.32,76,100,1.99,overcast clouds
185,Yulara,AU,-25.2406,130.9889,80.44,17,0,10.36,clear sky
186,Salamanca,ES,40.8333,-6.0,61.0,46,0,15.84,clear sky
187,Narsaq,GL,60.9167,-46.05,34.02,86,100,2.17,overcast clouds
188,Teya,RU,60.3778,92.6267,44.29,66,100,12.97,overcast clouds
189,Brae,GB,60.3964,-1.353,46.31,58,68,21.36,broken clouds
190,Metaxades,GR,41.4204,26.225,68.38,50,0,8.59,clear sky
191,Suntar,RU,62.1444,117.6319,36.39,89,100,6.82,overcast clouds
192,Gorontalo,ID,0.5412,123.0595,76.91,90,100,3.13,overcast clouds
193,Anloga,GH,5.7947,0.8973,89.82,73,100,11.86,overcast clouds
194,Lorengau,PG,-2.0226,147.2712,81.39,74,100,9.01,overcast clouds
195,Provideniya,RU,64.3833,-173.3,25.2,68,100,13.0,overcast clouds
196,Walvis Bay,NA,-22.9575,14.5053,72.55,43,0,11.5,clear sky
197,Ust-Maya,RU,60.4167,134.5333,28.76,94,100,6.11,overcast clouds
198,Nortelandia,BR,-14.4547,-56.8028,90.43,51,76,5.73,broken clouds
199,Havelock,US,34.8791,-76.9013,76.95,83,90,5.99,overcast clouds
200,Hope,US,33.6671,-93.5916,54.99,63,100,4.61,overcast clouds
201,Korla,CN,41.7597,86.1469,61.34,21,100,19.84,overcast clouds
202,Amuntai,ID,-2.4177,115.2494,76.08,95,93,2.21,overcast clouds
203,Udachnyy,RU,66.4167,112.4,27.19,92,100,7.36,overcast clouds
204,Broken Hill,AU,-31.95,141.4333,73.11,27,4,17.27,clear sky
205,Lormi,IN,22.2833,81.7333,72.54,60,0,5.44,clear sky
206,Cidreira,BR,-30.1811,-50.2056,70.21,63,0,3.71,clear sky
207,Mahebourg,MU,-20.4081,57.7,79.09,73,75,13.8,broken clouds
208,Flin Flon,CA,54.7682,-101.865,24.64,93,90,6.91,light snow
209,Avarua,CK,-21.2078,-159.775,69.85,64,75,4.61,broken clouds
210,Gizo,SB,-8.103,156.8419,79.63,80,99,3.74,overcast clouds
211,Lebu,CL,-37.6167,-73.65,51.71,66,99,16.04,overcast clouds
212,Paita,PE,-5.0892,-81.1144,64.96,84,64,10.49,broken clouds
213,Barentu,ER,15.1139,37.5928,93.51,16,19,5.95,few clouds
214,Saint-Georges,GD,12.0564,-61.7485,85.68,74,20,21.85,few clouds
215,Cockburn Town,TC,21.4612,-71.1419,83.35,75,16,17.0,few clouds
216,Takoradi,GH,4.8845,-1.7554,82.09,76,99,9.91,light rain
217,Tibacuy,CO,4.3511,-72.4564,78.28,82,88,5.3,overcast clouds
218,Banes,CU,20.9625,-75.7186,81.21,81,55,2.66,broken clouds
219,Saint George,US,37.1041,-113.5841,64.35,66,1,4.61,clear sky
220,Atar,MR,20.5169,-13.0499,92.39,12,6,13.31,clear sky
221,Tual,ID,-5.6667,132.75,83.35,70,100,2.06,overcast clouds
222,Touros,BR,-5.1989,-35.4608,86.9,64,79,13.11,broken clouds
223,Moyale,KE,3.5167,39.0584,80.02,43,80,9.84,broken clouds
224,Soligalich,RU,59.0778,42.2864,48.58,67,100,11.32,light rain
225,Talnakh,RU,69.4865,88.3972,13.59,96,100,4.54,overcast clouds
226,Kieta,PG,-6.2167,155.6333,77.59,84,100,2.71,overcast clouds
227,Belaya Gora,RU,68.5333,146.4167,-10.95,94,86,1.43,overcast clouds
228,Toora-Khem,RU,52.4675,96.11,34.32,46,5,0.65,clear sky
229,Nishihara,JP,26.1842,127.7558,72.68,58,90,10.36,overcast clouds
230,Komsomolskiy,UZ,40.4272,71.7189,50.72,40,40,2.3,scattered clouds
231,Conceicao Do Araguaia,BR,-8.2578,-49.2647,83.14,67,100,5.75,overcast clouds
232,Gladstone,AU,-23.85,151.25,75.13,83,40,11.5,scattered clouds
233,Norman Wells,CA,65.282,-126.8329,33.84,80,75,11.5,broken clouds
234,Yar-Sale,RU,66.8333,70.8333,28.56,85,100,7.92,overcast clouds
235,Pitkyaranta,RU,61.5734,31.4792,40.89,95,100,19.71,light rain
236,Conde,BR,-7.2597,-34.9075,85.46,66,75,10.36,broken clouds
237,Pangnirtung,CA,66.1451,-65.7125,28.4,74,75,3.44,broken clouds
238,Poum,NC,-20.2333,164.0167,74.37,75,0,5.12,clear sky
239,Mattru,SL,7.6244,-11.8332,82.53,80,93,5.26,moderate rain
240,Kavieng,PG,-2.5744,150.7967,80.87,77,100,11.65,light rain
241,Tokmak,UA,47.2514,35.7058,70.34,39,8,11.79,clear sky
242,Mecca,SA,21.4267,39.8261,97.75,25,4,16.98,clear sky
243,Kahului,US,20.8947,-156.47,76.84,80,1,3.44,clear sky
244,Khuzhir,RU,53.1939,107.3397,40.1,74,0,2.55,clear sky
245,Vegachi,CO,6.7614,-74.7947,68.61,96,100,0.83,overcast clouds
246,Coari,BR,-4.085,-63.1414,80.96,74,100,2.77,overcast clouds
247,Gat,IL,31.61,34.7642,79.48,41,53,15.3,broken clouds
248,Jalu,LY,29.0331,21.5482,83.7,25,0,4.79,clear sky
249,Ulladulla,AU,-35.35,150.4667,58.87,92,2,3.51,clear sky
250,Tripoli,LY,32.8752,13.1875,84.61,39,40,5.91,scattered clouds
251,Ponta Delgada,PT,37.7333,-25.6667,72.32,73,20,8.05,few clouds
252,Souillac,MU,-20.5167,57.5167,79.18,73,75,13.8,light rain
