City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
192,Gorontalo,ID,76.91,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
194,Lorengau,PG,81.39,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
199,Havelock,US,76.95,overcast clouds,34.8791,-76.9013,Sherwood Motel
202,Amuntai,ID,76.08,overcast clouds,-2.4177,115.2494,Hotel Balqis
204,Broken Hill,AU,73.11,clear sky,-31.95,141.4333,Royal Exchange Hotel
205,Lormi,IN,72.54,clear sky,22.2833,81.7333,suresh Kumar Porte
206,Cidreira,BR,70.21,clear sky,-30.1811,-50.2056,Hotel Castelo
207,Mahebourg,MU,79.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
210,Gizo,SB,79.63,overcast clouds,-8.103,156.8419,Imagination Island
215,Cockburn Town,TC,83.35,few clouds,21.4612,-71.1419,Osprey Beach Hotel
216,Takoradi,GH,82.09,light rain,4.8845,-1.7554,Raybow International Hotel
217,Tibacuy,CO,78.28,overcast clouds,4.3511,-72.4564,hospedaje las palmas
218,Banes,CU,81.21,broken clouds,20.9625,-75.7186,Hostal Iván y yailet
221,Tual,ID,83.35,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
223,Moyale,KE,80.02,broken clouds,3.5167,39.0584,La Tahzan Guest House
226,Kieta,PG,77.59,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
229,Nishihara,JP,72.68,overcast clouds,26.1842,127.7558,Minshuku Agaihama
231,Conceicao Do Araguaia,BR,83.14,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
232,Gladstone,AU,75.13,scattered clouds,-23.85,151.25,Highpoint International
238,Poum,NC,74.37,clear sky,-20.2333,164.0167,Gîte kajeon
239,Mattru,SL,82.53,moderate rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
240,Kavieng,PG,80.87,light rain,-2.5744,150.7967,Nusa Island Retreat
241,Tokmak,UA,70.34,clear sky,47.2514,35.7058,Дом приезжих
243,Kahului,US,76.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
246,Coari,BR,80.96,overcast clouds,-4.085,-63.1414,HOTEL ALEX FLAT
247,Gat,IL,79.48,broken clouds,31.61,34.7642,OlusHome
248,Jalu,LY,83.7,clear sky,29.0331,21.5482,صاحبة الفخامة
250,Tripoli,LY,84.61,scattered clouds,32.8752,13.1875,Hotel Al-Safwa
251,Ponta Delgada,PT,72.32,few clouds,37.7333,-25.6667,Vila Nova Hotel
252,Souillac,MU,79.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
253,Port Elizabeth,ZA,74.1,few clouds,-33.918,25.5701,39 On Nile Guest House
254,Yabrud,SY,71.26,clear sky,33.9674,36.6574,المنزل
255,Rawah,IQ,82.33,clear sky,34.4816,41.9093,المملكة الراوية الهاشمية
266,Port Hedland,AU,78.85,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
267,Kloulklubed,PW,79.3,clear sky,7.0419,134.2556,Storyboard Beach Resort
270,Saurimo,AO,81.32,overcast clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
271,Faya,SA,77.11,clear sky,18.3851,42.4509,املاك خالد الشعشوع
274,Namatanai,PG,77.9,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
276,Praia Da Vitoria,PT,72.75,overcast clouds,38.7333,-27.0667,Hotel Branco I
285,Pochutla,MX,77.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
287,Vila Franca Do Campo,PT,72.01,clear sky,37.7167,-25.4333,Pestana Bahia Praia
288,Karratha,AU,83.43,clear sky,-20.7377,116.8463,ibis Styles Karratha
289,Booue,GA,79.34,light rain,-0.0921,11.9385,Splendeur de l'équateur
291,Saint-Paul,RE,82.0,few clouds,-21.0096,55.2707,Boucan Canot
295,Salalah,OM,82.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
296,Balikpapan,ID,79.0,overcast clouds,-1.2675,116.8289,ibis Balikpapan
298,Sao Joao Da Barra,BR,75.29,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
299,Mayumba,GA,80.35,broken clouds,-3.432,10.6554,LIKWALE LODGE
301,Bradu,RO,70.86,scattered clouds,44.7833,24.9,Celly
307,Salvador,SV,73.8,overcast clouds,13.8333,-88.9167,Chico's Ranch
308,Turayf,SA,82.65,clear sky,31.6725,38.6637,Turaif
310,Sola,VU,80.47,overcast clouds,-13.8833,167.55,Leumerus Bungalows
312,Los Llanos De Aridane,ES,70.12,broken clouds,28.6585,-17.9182,Valle Aridane
316,Bredasdorp,ZA,70.29,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
317,Puerto Ayacucho,VE,78.89,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
322,Rincon,US,72.86,broken clouds,32.296,-81.2354,Days Inn Rincon
323,Kirakira,SB,79.57,broken clouds,-10.4544,161.9205,SanBiz Lodge
329,Casablanca,MA,73.62,broken clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
332,Harper,LR,80.83,light rain,4.375,-7.7169,Screensaver
333,Surt,LY,83.75,overcast clouds,31.2089,16.5887,الهادي ابوشعاله سرت
334,Sao Miguel Do Araguaia,BR,78.76,moderate rain,-13.275,-50.1628,Hotel Executivo Palace
337,Ambulu,ID,78.42,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
339,Sri Aman,MY,75.25,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
343,Tefe,BR,78.91,broken clouds,-3.3542,-64.7114,Aracati Hotel
344,Sorong,ID,79.16,overcast clouds,-0.8833,131.25,waigo splash hotel
349,San Lorenzo,PY,83.59,clear sky,-25.3333,-57.5333,Hotel del Sur
353,Sale,MA,73.42,broken clouds,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
358,Arona,ES,73.33,broken clouds,28.0996,-16.681,Paradise Court
361,Tabuk,PH,74.89,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
369,Mareeba,AU,75.92,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
375,Bellavista,PE,79.88,few clouds,-7.0561,-76.5911,Hospedaje Bella Durmiente
376,Kavaratti,IN,82.49,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
381,Bonthe,SL,82.72,light rain,7.5264,-12.505,Bonthe Holiday Village
385,Hagdan,PH,79.9,light rain,11.3333,123.9,Chicco's Bed and Breakfast
386,Sabang,ID,81.12,overcast clouds,5.8933,95.3214,Hotel Citra
387,San Cristobal,VE,73.58,broken clouds,7.7669,-72.225,Posada Villaven C.A.
389,Quatre Cocos,MU,78.91,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
391,Kapasan,ID,80.2,overcast clouds,-6.7773,111.3789,Perum Perhutani Kph Mantingan
393,Benghazi,LY,76.59,few clouds,32.1167,20.0667,Tibesti Hotel
394,Karachi,PK,82.22,broken clouds,24.9056,67.0822,Sadaat
395,Katobu,ID,78.04,few clouds,-4.9408,122.5276,La Ode Husein
399,Vao,NC,72.68,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
400,Kupang,ID,80.53,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
402,Jaruco,CU,76.33,overcast clouds,23.0431,-82.0108,Ruinas Hotel Escaleras de Jaruco
405,Kigoma,TZ,79.75,overcast clouds,-4.8769,29.6267,MJI Mwema Lodge
408,Nhulunbuy,AU,83.01,clear sky,-12.2333,136.7667,East Arnhem Real Estate
409,Constantine,DZ,78.21,clear sky,36.365,6.6147,Grand Hotel Cirta
